#Table1
modelMag_u,modelMag_g,modelMag_r
20.68785,18.20908,16.79704
19.79498,18.8215,18.38158
21.32341,18.80895,17.34863
20.39063,18.57123,17.96248
20.11275,18.77887,18.23026
19.8473,18.05364,17.2316
20.28615,18.34596,17.59678
19.54668,18.08501,17.51474
20.84972,18.2173,16.76898
21.3909,18.94115,17.87592
19.53613,18.69089,18.42756
20.88136,18.38401,16.98349
19.90798,18.67963,18.12166
20.58865,18.14965,16.7544
19.33666,18.46855,18.18343
20.53198,18.14569,17.17463
19.85155,18.16851,17.39141
21.85225,18.8706,17.38596
19.64125,18.72676,18.45738
19.80317,18.41752,17.81207
20.29335,18.45492,17.67414
20.94263,18.39191,17.1644
20.84184,18.62438,17.627
19.62518,18.63412,18.35693
20.28707,18.91522,18.36071
19.87165,18.84325,18.52555
19.30764,18.13589,17.7337
20.58069,18.83865,18.04129
21.5594,18.99669,17.82778
20.90127,18.3497,17.15018
21.13547,18.64676,17.39421
19.95012,18.90415,18.62456
19.54575,18.07643,17.52468
20.7412,18.18049,17.00854
20.03895,18.88616,18.40451
19.67919,18.39869,17.91476
21.42575,18.77832,17.55733
20.8798,18.37374,16.9578
20.81336,18.27194,16.97802
20.78021,18.99493,18.32055
21.47025,18.83459,17.68833
20.76125,18.3643,17.28008
20.72781,18.36931,17.35291
19.88531,18.85538,18.48756
19.5794,18.58167,18.20515
21.21725,18.56741,17.04878
20.08386,18.53098,17.87354
19.98083,18.01082,17.18655
19.46171,18.33633,17.98496
20.55321,18.13977,16.798
20.87146,18.47157,17.29411
20.99378,18.15104,16.82238
21.06041,18.69237,17.49072
19.32462,18.08793,17.58259
19.53876,18.49652,18.13444
21.11873,18.56564,17.11605
20.38709,18.4307,17.57185
19.42204,18.59501,18.29893
20.97762,18.5367,17.52641
20.67707,18.11654,16.72082
20.96338,18.7105,17.74946
18.37782,18.691,19.17439
20.34374,18.42376,17.58502
20.00679,18.66417,18.14812
19.79798,18.75885,18.49566
21.06383,18.47314,17.01372
21.41133,18.81559,17.46104
21.18226,18.27276,16.74866
18.74442,18.47784,18.31561
20.10606,18.78692,18.2379
19.69712,18.32737,17.81606
20.58125,18.04698,16.84017
19.89998,18.98906,18.7441
21.47469,18.80727,17.38731
20.67838,18.25033,17.05025
20.03011,18.90665,18.4502
18.87113,18.03208,17.70226
20.89803,18.85378,17.9453
20.91488,18.28119,16.94692
20.5344,18.52461,17.69505
20.97162,18.568,17.45751
20.998,18.73324,17.87481
